name,Facts
Bulbasaur,Bulbasaur is the only unevolved dual-type starter Pokémon.
Ivysaur,Ivysaur is the only Generation I Pokémon whose name begins with the letter I.
Venusaur,"Venusaur is a combination of the words Venus, which refers to the Venus Flytrap plant, and the Greek word saur, meaning lizard."
Charmander,Charmander is the tallest Fire-type starter Pokémon.
Charmeleon,Charmeleon is capable of learning Leer in Generation I.
Charizard,Charizard was voted the favorite Pokémon by Official Nintendo Magazine readers in February 2012.
Squirtle,Squirtle is the first Water-type Pokémon in National Pokédex.
Wartortle,"Wartortle gets its name from a combination of war/warrior, tortoise, and turtle."
Blastoise,Blastoise has the highest base Special Defense of all fully evolved starter Pokémon.
Caterpie,Caterpie was the first Pokémon to be seen evolving in the animé.
Metapod,Metapod is known as a Cocoon Pokémon.
Butterfree,"Butterfree has been trained by Trainers Ash, Drew, Ritchie, and Solidad."
Weedle,"Weedle evolves at level 7, the lowest level required for any Pokémon to evolve by leveling up."
Kakuna,Kakuna has been shown evolving more than any other Pokémon in the animé.
Beedrill,Beedrill was originally going to be spelled with only one “L.”
Pidgey,Pidgey is the only Pokémon with a base stat total of 251.
Pidgeotto,"Pidgeotto was caught by Ash in Ash Catches a Pokémon. Since then, it has been one of Ash’s main Pokémon."
Pidgeot,Pidgeot is the only Pokémon with a base stat total of 469.
Rattata,Rattata is the first pure Normal-type in the National Pokédex order.
Raticate,"Raticate was classified as a Rat Pokémon in Pokémon Red and Blue; however, from Generation III onward, it is classified as a mouse."
Spearow,Spearow is a combination of spear and sparrow or arrow.
Fearow,Fearow weighs 38kg.
Ekans,"Ekans spells snake backward, which is also Ekans’ species."
Arbok,Arbok is the last Pokémon to be featured on the Kanto Pokérap.
Pikachu,Pikachu is voiced by Ikue Outani.
Raichu,"Raichu can be male or female; the difference in appearance is the female has a smaller, blunted lightning bolt at the end of its tail."
Sandshrew,"Sandshrew is based on an animal called the pangolin; it’s a mammal that curls up into a ball, has sharp claws, and lives in desert regions."
Sandslash,Sandslash evolves from Sandshrew from level 22.
Nidoranâ™€,Nidoran? can lay eggs that have a chance of hatching into a Nidoran?‚.
Nidorina,Nidorina are common in the Kanto region but rare in Sinnoh.
Nidoqueen,Nidoqueen evolves from Nidorina when exposed to a Moon Stone.
Nidoranâ™‚,Nidoran?‚ made its first appearance in the animé in “Pokémon Fashion Flash.”
Nidorino,"Nidorino appeared in the very first episode, battling a Gengar in a battle Ash was watching on TV."
Nidoking,"Nidoking, along with Nidoqueen, are the only two Pokémon with a Poison/Ground type combination."
Clefairy,Clefairy was originally going to be the mascot of Pokémon instead of Pikachu.
Clefable,Clefable is based on a fairy and a pixie.
Vulpix,Vulpix was originally going to be called “Foxfire.”
Ninetales,Ninetales was misspelled as “Ninetails” in the Pokémon Trading Card Game for the Game Boy Color.
Jigglypuff,Jigglypuff is the only character to keep its original voice track through all three Super Smash Bros. games.
Wigglytuff,"Wigglytuff is 1m tall, which is 3’03”."
Zubat,Zubat does not have eyes.
Golbat,Golbat is the first Pokémon in the National Pokédex to gain a new evolution in a later generation.
Oddish,"Oddish has a scientific name, which is Oddium Wanderus. It was first shown in the FireRed Pokédex entry."
Gloom,"Gloom is the only Pokémon to evolve into two different Pokémon with two different stones, other than Eevee."
Vileplume,Vileplume‘s species is Flower Pokémon.
Paras,Paras and its evolved form are the only Pokémon to have a 5x weakness due to the Ability Dry Skin.
Parasect,"Parasect has used Sleep Powder in the animé. However, it cannot learn this in the games."
Venonat,"Venonat has red eyes and nose; however, the shiny Venonat’s eyes and nose are blue."
Venomoth,Venomoth shares the same species name as Dustox. They are both known as Poison Moth Pokémon.
Diglett,"Diglett has been shown to have no feet however, it is mentioned as being one of the seven mysteries of Pokémon."
Dugtrio,Dugtrio is the fastest Ground-type Pokémon.
Meowth,Meowth is the first Pokémon in the animé to talk.
